,类别,频次,百分数
0,山西省，忻州市,4,0.0067
1,广西壮族自治区，贵港市,3,0.005
2,山西省，吕梁市,3,0.005
3,河南省，漯河市,3,0.005
4,河南省，濮阳市,3,0.005
5,吉林省，四平市,2,0.0033
6,广西壮族自治区，钦州市,2,0.0033
7,山西省，朔州市,2,0.0033
8,河南省，鹤壁市,2,0.0033
9,辽宁省，铁岭市,2,0.0033
10,河北省，衡水市,2,0.0033
11,内蒙古自治区，通辽市,2,0.0033
12,内蒙古自治区，巴彦淖尔市,2,0.0033
13,山西省，晋城市,2,0.0033
14,陕西省，汉中市,2,0.0033
15,四川省，巴中市,2,0.0033
16,广东省，云浮市,2,0.0033
17,江西省，萍乡市,1,0.0017000000000000001
18,西藏自治区，昌都市,1,0.0017000000000000001
19,新疆维吾尔自治区，喀什地区,1,0.0017000000000000001
20,甘肃省，武威市,1,0.0017000000000000001
21,四川省，广元市,1,0.0017000000000000001
22,甘肃省，天水市,1,0.0017000000000000001
23,陕西省，延安市,1,0.0017000000000000001
24,吉林省，白山市,1,0.0017000000000000001
25,河南省，三门峡市,1,0.0017000000000000001
26,云南省，临沧市,1,0.0017000000000000001
27,云南省，楚雄彝族自治州,1,0.0017000000000000001
28,四川省，遂宁市,1,0.0017000000000000001
29,内蒙古自治区，锡林郭勒盟,1,0.0017000000000000001
30,江西省，新余市,1,0.0017000000000000001
31,甘肃省，定西市,1,0.0017000000000000001
32,山西省，长治市,1,0.0017000000000000001
33,吉林省，通化市,1,0.0017000000000000001
34,湖北省，随州市,1,0.0017000000000000001
35,四川省，内江市,1,0.0017000000000000001
36,广西壮族自治区，河池市,1,0.0017000000000000001
37,宁夏回族自治区，中卫市,1,0.0017000000000000001
